Date & Time,Amount Outgoing (Yen),Amount Incoming (Yen),Amount Outgoing Overseas,Currency,Exchange Rate (Yen),Country Paid In,Transaction Type,Business Name,Method,Payment Option,User,Transaction ID
2025/11/25 21:41:38,-,"6,600",-,-,-,JP,Money Received,huanvn,PayPay Balance,-,-,02141553995329249288
2025/11/25 21:36:41,"26,499",-,-,-,-,-,Payment,居酒屋 千,Credit Mastercard 5298,-,-,04852699732054171648
2025/11/25 20:27:19,-,5,-,-,-,-,"Points, Balance Earned",PayPayカード,PayPay Point,-,-,272879871015059456-244213660
2025/11/25 18:00:17,"1,180",-,-,-,-,-,Payment,なか卯 - せんげん台,Credit Mastercard 5298,-,-,04852588200343756801
2025/11/25 14:52:12,"300,000",-,-,-,-,-,Bank Transfer,PayPay銀行 *****87,PayPay Balance,-,-,02141342983586824192
2025/11/25 14:51:38,-,"300,000",-,-,-,-,Top-Up,PayPay,スルガ銀行 *****55,-,-,02141342691529342990
2025/11/25 11:36:56,"1,265",-,-,-,-,-,Payment,まきの - 天ぷらまきの新宿三井ビル,Credit Mastercard 5298,-,-,04852390614668099586
2025/11/25 09:19:08,-,734,-,-,-,-,"Points, Balance Earned",Yahoo!ショッピング,PayPay Point,-,-,lp-102895974642327552-c_0b9427c9-4299-4ddb-b3a8-b873670e9ad2_sppf
2025/11/25 09:19:07,145,-,-,-,-,-,Payment,Yahoo!ショッピング,PayPay Point,-,-,04852319593088942081
2025/11/25 09:19:06,"15,367",-,-,-,-,-,Payment,Yahoo!ショッピング - ヤフー　アルペングループヤフー店,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025112509190600843596
2025/11/25 00:37:16,513,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04852050625057423362
2025/11/24 21:16:20,"1,000",-,-,-,-,-,Payment,宝くじ公式サイト,Credit Mastercard 5298,-,-,04851947073395449856
2025/11/24 16:06:58,"2,904",-,-,-,-,-,Payment,イオンリテール - イオンレイクタウンmori,Credit Mastercard 5298,-,-,04851787627029766144
